X,Y,id,left,top,right,bottom,row_index,col_index
27.625,31.375,33526,27.625,31.375,27.75,31.5,117,261
27.625,31.25,33527,27.625,31.25,27.75,31.375,118,261
27.75,31.375,33654,27.75,31.375,27.875,31.5,117,262
27.75,31.25,33655,27.75,31.25,27.875,31.375,118,262
27.875,31.375,33782,27.875,31.375,28,31.5,117,263
27.875,31.25,33783,27.875,31.25,28,31.375,118,263
28.0,31.375,33910,28,31.375,28.125,31.5,117,264
28.0,31.25,33911,28,31.25,28.125,31.375,118,264
28.125,31.25,34039,28.125,31.25,28.25,31.375,118,265
28.25,31.25,34167,28.25,31.25,28.375,31.375,118,266
28.375,31.25,34295,28.375,31.25,28.5,31.375,118,267
28.5,31.25,34423,28.5,31.25,28.625,31.375,118,268
28.625,31.25,34551,28.625,31.25,28.75,31.375,118,269
29.625,31.25,35575,29.625,31.25,29.75,31.375,118,277
29.75,31.375,35702,29.75,31.375,29.875,31.5,117,278
29.75,31.25,35703,29.75,31.25,29.875,31.375,118,278
29.875,31.375,35830,29.875,31.375,30,31.5,117,279
29.875,31.25,35831,29.875,31.25,30,31.375,118,279
30.0,31.5,35957,30,31.5,30.125,31.625,116,280
30.0,31.375,35958,30,31.375,30.125,31.5,117,280
30.125,31.5,36085,30.125,31.5,30.25,31.625,116,281
30.125,31.375,36086,30.125,31.375,30.25,31.5,117,281
30.25,31.5,36213,30.25,31.5,30.375,31.625,116,282
30.25,31.375,36214,30.25,31.375,30.375,31.5,117,282
30.375,31.5,36341,30.375,31.5,30.5,31.625,116,283
30.5,31.5,36469,30.5,31.5,30.625,31.625,116,284
30.5,31.25,36471,30.5,31.25,30.625,31.375,118,284
30.625,31.5,36597,30.625,31.5,30.75,31.625,116,285
32.375,35.25,38359,32.375,35.25,32.5,35.375,86,299
32.375,35.125,38360,32.375,35.125,32.5,35.25,87,299
32.375,34.75,38363,32.375,34.75,32.5,34.875,90,299
32.5,35.25,38487,32.5,35.25,32.625,35.375,86,300
32.5,35.125,38488,32.5,35.125,32.625,35.25,87,300
32.625,35.375,38614,32.625,35.375,32.75,35.5,85,301
32.625,35.25,38615,32.625,35.25,32.75,35.375,86,301
32.75,35.5,38741,32.75,35.5,32.875,35.625,84,302
32.75,35.375,38742,32.75,35.375,32.875,35.5,85,302
32.75,35.25,38743,32.75,35.25,32.875,35.375,86,302
32.875,35.5,38869,32.875,35.5,33,35.625,84,303
32.875,35.375,38870,32.875,35.375,33,35.5,85,303
32.875,35.25,38871,32.875,35.25,33,35.375,86,303
33.0,35.5,38997,33,35.5,33.125,35.625,84,304
33.0,35.375,38998,33,35.375,33.125,35.5,85,304
33.125,35.5,39125,33.125,35.5,33.25,35.625,84,305
33.125,35.375,39126,33.125,35.375,33.25,35.5,85,305
33.25,35.5,39253,33.25,35.5,33.375,35.625,84,306
33.25,35.375,39254,33.25,35.375,33.375,35.5,85,306
33.375,35.5,39381,33.375,35.5,33.5,35.625,84,307
33.375,35.375,39382,33.375,35.375,33.5,35.5,85,307
33.5,35.5,39509,33.5,35.5,33.625,35.625,84,308
33.5,35.375,39510,33.5,35.375,33.625,35.5,85,308
33.5,34.75,39515,33.5,34.75,33.625,34.875,90,308
33.625,35.5,39637,33.625,35.5,33.75,35.625,84,309
33.625,35.375,39638,33.625,35.375,33.75,35.5,85,309
33.625,34.75,39643,33.625,34.75,33.75,34.875,90,309
33.75,35.5,39765,33.75,35.5,33.875,35.625,84,310
33.75,34.875,39770,33.75,34.875,33.875,35,89,310
33.75,34.75,39771,33.75,34.75,33.875,34.875,90,310
33.875,35.625,39892,33.875,35.625,34,35.75,83,311
33.875,35.5,39893,33.875,35.5,34,35.625,84,311
33.875,34.875,39898,33.875,34.875,34,35,89,311
33.875,34.75,39899,33.875,34.75,34,34.875,90,311
34.0,35.625,40020,34,35.625,34.125,35.75,83,312
34.0,35.5,40021,34,35.5,34.125,35.625,84,312
34.0,35.25,40023,34,35.25,34.125,35.375,86,312
34.0,35.125,40024,34,35.125,34.125,35.25,87,312
34.0,34.875,40026,34,34.875,34.125,35,89,312
34.125,35.625,40148,34.125,35.625,34.25,35.75,83,313
34.125,35.375,40150,34.125,35.375,34.25,35.5,85,313
34.125,35.25,40151,34.125,35.25,34.25,35.375,86,313
34.125,35.125,40152,34.125,35.125,34.25,35.25,87,313
34.125,35.0,40153,34.125,35,34.25,35.125,88,313
34.125,34.875,40154,34.125,34.875,34.25,35,89,313
34.25,35.625,40276,34.25,35.625,34.375,35.75,83,314
34.25,35.375,40278,34.25,35.375,34.375,35.5,85,314
34.25,35.25,40279,34.25,35.25,34.375,35.375,86,314
34.25,35.125,40280,34.25,35.125,34.375,35.25,87,314
34.25,35.0,40281,34.25,35,34.375,35.125,88,314
34.25,34.875,40282,34.25,34.875,34.375,35,89,314
34.375,35.5,40405,34.375,35.5,34.5,35.625,84,315
34.375,35.375,40406,34.375,35.375,34.5,35.5,85,315
34.5,35.625,40532,34.5,35.625,34.625,35.75,83,316
